model_f,language_f,refusal_justification_f,n,total,prop
Claude Opus 4.5,Russian,Harm Avoidance,12,59,0.2033898305084746
Claude Opus 4.5,Russian,Expertise Limitation,6,59,0.1016949152542373
Claude Opus 4.5,Russian,No Justification,1,59,0.01694915254237288
Claude Opus 4.5,Russian,Other,20,59,0.3389830508474576
Claude Opus 4.5,Hindi,Neutrality/Balance,24,201,0.11940298507462686
Claude Opus 4.5,Hindi,Complexity/Uncertainty,3,201,0.014925373134328358
Claude Opus 4.5,Hindi,Harm Avoidance,76,201,0.3781094527363184
Claude Opus 4.5,Hindi,Expertise Limitation,4,201,0.01990049751243781
Claude Opus 4.5,Hindi,User Autonomy,2,201,0.009950248756218905
Claude Opus 4.5,Hindi,Other,92,201,0.4577114427860697
GPT-4o,English,Neutrality/Balance,49,55,0.8909090909090909
GPT-4o,English,Harm Avoidance,1,55,0.01818181818181818
GPT-4o,English,Expertise Limitation,3,55,0.05454545454545454
GPT-4o,English,No Justification,2,55,0.03636363636363636
GPT-4o,Chinese,Neutrality/Balance,24,28,0.8571428571428571
GPT-4o,Chinese,Expertise Limitation,1,28,0.03571428571428571
GPT-4o,Chinese,No Justification,2,28,0.07142857142857142
GPT-4o,Chinese,Other,1,28,0.03571428571428571
GPT-4o,Arabic,Neutrality/Balance,35,41,0.8536585365853658
GPT-4o,Arabic,Complexity/Uncertainty,3,41,0.07317073170731707
GPT-4o,Arabic,Expertise Limitation,2,41,0.04878048780487805
GPT-4o,Arabic,No Justification,1,41,0.024390243902439025
GPT-4o,Russian,Neutrality/Balance,48,60,0.8
GPT-4o,Russian,Complexity/Uncertainty,5,60,0.08333333333333333
GPT-4o,Russian,Expertise Limitation,5,60,0.08333333333333333
GPT-4o,Russian,No Justification,2,60,0.03333333333333333
GPT-4o,Hindi,Neutrality/Balance,22,27,0.8148148148148148
GPT-4o,Hindi,Complexity/Uncertainty,1,27,0.037037037037037035
GPT-4o,Hindi,Expertise Limitation,1,27,0.037037037037037035
GPT-4o,Hindi,No Justification,3,27,0.1111111111111111
Grok 4.3,English,Neutrality/Balance,23,51,0.45098039215686275
Grok 4.3,English,Harm Avoidance,5,51,0.09803921568627451
Grok 4.3,English,Expertise Limitation,3,51,0.058823529411764705
Grok 4.3,English,No Justification,10,51,0.19607843137254902
Grok 4.3,English,Other,10,51,0.19607843137254902
Grok 4.3,Chinese,Neutrality/Balance,15,38,0.39473684210526316
Grok 4.3,Chinese,Harm Avoidance,8,38,0.21052631578947367
Grok 4.3,Chinese,No Justification,7,38,0.18421052631578946
Grok 4.3,Chinese,Other,8,38,0.21052631578947367
Grok 4.3,Arabic,Neutrality/Balance,14,30,0.4666666666666667
Grok 4.3,Arabic,Harm Avoidance,8,30,0.26666666666666666
Grok 4.3,Arabic,No Justification,4,30,0.13333333333333333
Grok 4.3,Arabic,Other,4,30,0.13333333333333333
Grok 4.3,Russian,Neutrality/Balance,5,31,0.16129032258064516
Grok 4.3,Russian,Harm Avoidance,6,31,0.1935483870967742
Grok 4.3,Russian,Expertise Limitation,4,31,0.12903225806451613
Grok 4.3,Russian,No Justification,6,31,0.1935483870967742
Grok 4.3,Russian,Other,10,31,0.3225806451612903
Grok 4.3,Hindi,Neutrality/Balance,9,30,0.3
Grok 4.3,Hindi,Complexity/Uncertainty,1,30,0.03333333333333333
Grok 4.3,Hindi,Harm Avoidance,8,30,0.26666666666666666
Grok 4.3,Hindi,Expertise Limitation,1,30,0.03333333333333333
Grok 4.3,Hindi,No Justification,6,30,0.2
Grok 4.3,Hindi,Other,5,30,0.16666666666666666
DeepSeek V3.1,English,Neutrality/Balance,88,124,0.7096774193548387
DeepSeek V3.1,English,Harm Avoidance,12,124,0.0967741935483871
DeepSeek V3.1,English,No Justification,3,124,0.024193548387096774
DeepSeek V3.1,English,Other,21,124,0.1693548387096774
DeepSeek V3.1,Chinese,Neutrality/Balance,172,407,0.4226044226044226
DeepSeek V3.1,Chinese,Harm Avoidance,5,407,0.012285012285012284
DeepSeek V3.1,Chinese,Expertise Limitation,1,407,0.002457002457002457
DeepSeek V3.1,Chinese,No Justification,180,407,0.44226044226044225
DeepSeek V3.1,Chinese,Other,49,407,0.12039312039312039
DeepSeek V3.1,Arabic,Neutrality/Balance,154,260,0.5923076923076923
DeepSeek V3.1,Arabic,Complexity/Uncertainty,1,260,0.0038461538461538464
DeepSeek V3.1,Arabic,Harm Avoidance,12,260,0.046153846153846156
DeepSeek V3.1,Arabic,Expertise Limitation,6,260,0.023076923076923078
DeepSeek V3.1,Arabic,No Justification,59,260,0.22692307692307692
DeepSeek V3.1,Arabic,Other,28,260,0.1076923076923077
DeepSeek V3.1,Russian,Neutrality/Balance,95,229,0.4148471615720524
DeepSeek V3.1,Russian,Harm Avoidance,11,229,0.048034934497816595
DeepSeek V3.1,Russian,Expertise Limitation,2,229,0.008733624454148471
DeepSeek V3.1,Russian,No Justification,102,229,0.44541484716157204
DeepSeek V3.1,Russian,Other,19,229,0.08296943231441048
DeepSeek V3.1,Hindi,Neutrality/Balance,133,174,0.764367816091954
DeepSeek V3.1,Hindi,Harm Avoidance,11,174,0.06321839080459771
DeepSeek V3.1,Hindi,Expertise Limitation,2,174,0.011494252873563218
DeepSeek V3.1,Hindi,No Justification,11,174,0.06321839080459771
DeepSeek V3.1,Hindi,Other,17,174,0.09770114942528736
Qwen3-Max,English,Neutrality/Balance,122,184,0.6630434782608695
Qwen3-Max,English,Harm Avoidance,16,184,0.08695652173913043
Qwen3-Max,English,Expertise Limitation,1,184,0.005434782608695652
Qwen3-Max,English,No Justification,30,184,0.16304347826086957
Qwen3-Max,English,Other,15,184,0.08152173913043478
Qwen3-Max,Chinese,Neutrality/Balance,115,164,0.7012195121951219
Qwen3-Max,Chinese,Harm Avoidance,6,164,0.036585365853658534
Qwen3-Max,Chinese,No Justification,22,164,0.13414634146341464
Qwen3-Max,Chinese,Other,21,164,0.12804878048780488
Qwen3-Max,Arabic,Neutrality/Balance,27,34,0.7941176470588235
Qwen3-Max,Arabic,Harm Avoidance,1,34,0.029411764705882353
Qwen3-Max,Arabic,No Justification,3,34,0.08823529411764706
Qwen3-Max,Arabic,Other,3,34,0.08823529411764706
Qwen3-Max,Russian,Neutrality/Balance,31,38,0.8157894736842105
Qwen3-Max,Russian,No Justification,6,38,0.15789473684210525
Qwen3-Max,Russian,Other,1,38,0.02631578947368421
Qwen3-Max,Hindi,Neutrality/Balance,25,37,0.6756756756756757
Qwen3-Max,Hindi,Harm Avoidance,1,37,0.02702702702702703
Qwen3-Max,Hindi,No Justification,5,37,0.13513513513513514
Qwen3-Max,Hindi,Other,6,37,0.16216216216216217
ALLaM 7B,English,Neutrality/Balance,264,426,0.6197183098591549
ALLaM 7B,English,Harm Avoidance,17,426,0.03990610328638498
ALLaM 7B,English,No Justification,10,426,0.023474178403755867
ALLaM 7B,English,Other,135,426,0.31690140845070425
ALLaM 7B,Chinese,Neutrality/Balance,177,802,0.22069825436408977
ALLaM 7B,Chinese,Complexity/Uncertainty,1,802,0.0012468827930174563
ALLaM 7B,Chinese,Expertise Limitation,1,802,0.0012468827930174563
ALLaM 7B,Chinese,No Justification,7,802,0.008728179551122194
ALLaM 7B,Chinese,Other,616,802,0.7680798004987531
ALLaM 7B,Arabic,Neutrality/Balance,208,416,0.5
ALLaM 7B,Arabic,Harm Avoidance,2,416,0.004807692307692308
ALLaM 7B,Arabic,No Justification,12,416,0.028846153846153848
ALLaM 7B,Arabic,Other,194,416,0.46634615384615385
ALLaM 7B,Russian,Neutrality/Balance,210,1717,0.12230634828188701
ALLaM 7B,Russian,No Justification,136,1717,0.07920792079207921
ALLaM 7B,Russian,Other,1371,1717,0.7984857309260338
ALLaM 7B,Hindi,Neutrality/Balance,74,1957,0.03781297904956566
ALLaM 7B,Hindi,No Justification,755,1957,0.38579458354624424
ALLaM 7B,Hindi,Other,1128,1957,0.5763924374041901
Jais 8B,English,Neutrality/Balance,10,59,0.1694915254237288
Jais 8B,English,Harm Avoidance,48,59,0.8135593220338984
Jais 8B,English,Other,1,59,0.01694915254237288
Jais 8B,Chinese,Neutrality/Balance,57,100,0.57
Jais 8B,Chinese,Other,43,100,0.43
Jais 8B,Arabic,Neutrality/Balance,49,88,0.5568181818181818
Jais 8B,Arabic,Complexity/Uncertainty,1,88,0.011363636363636364
Jais 8B,Arabic,Harm Avoidance,7,88,0.07954545454545454
Jais 8B,Arabic,Expertise Limitation,3,88,0.03409090909090909
Jais 8B,Arabic,No Justification,1,88,0.011363636363636364
Jais 8B,Arabic,Other,27,88,0.3068181818181818
Jais 8B,Russian,Neutrality/Balance,52,133,0.39097744360902253
Jais 8B,Russian,Expertise Limitation,1,133,0.007518796992481203
Jais 8B,Russian,No Justification,9,133,0.06766917293233082
Jais 8B,Russian,Other,71,133,0.5338345864661654
Jais 8B,Hindi,Neutrality/Balance,294,491,0.5987780040733197
Jais 8B,Hindi,No Justification,19,491,0.038696537678207736
Jais 8B,Hindi,Other,178,491,0.3625254582484725
Falcon3 10B,English,Neutrality/Balance,130,156,0.8333333333333334
Falcon3 10B,English,Complexity/Uncertainty,1,156,0.00641025641025641
Falcon3 10B,English,Harm Avoidance,14,156,0.08974358974358974
Falcon3 10B,English,Expertise Limitation,4,156,0.02564102564102564
Falcon3 10B,English,No Justification,6,156,0.038461538461538464
Falcon3 10B,English,Other,1,156,0.00641025641025641
Falcon3 10B,Chinese,Neutrality/Balance,62,75,0.8266666666666667
Falcon3 10B,Chinese,No Justification,2,75,0.02666666666666667
Falcon3 10B,Chinese,Other,11,75,0.14666666666666667
Falcon3 10B,Arabic,Neutrality/Balance,246,757,0.3249669749009247
Falcon3 10B,Arabic,No Justification,69,757,0.09114927344782034
Falcon3 10B,Arabic,Other,442,757,0.583883751651255
Falcon3 10B,Russian,Neutrality/Balance,119,174,0.6839080459770115
Falcon3 10B,Russian,Harm Avoidance,1,174,0.005747126436781609
Falcon3 10B,Russian,Expertise Limitation,4,174,0.022988505747126436
Falcon3 10B,Russian,No Justification,10,174,0.05747126436781609
Falcon3 10B,Russian,Other,40,174,0.22988505747126436
Falcon3 10B,Hindi,Neutrality/Balance,291,786,0.3702290076335878
Falcon3 10B,Hindi,No Justification,65,786,0.08269720101781171
Falcon3 10B,Hindi,Other,430,786,0.5470737913486005
Sarvam 30B,English,Neutrality/Balance,100,152,0.6578947368421053
Sarvam 30B,English,Harm Avoidance,43,152,0.28289473684210525
Sarvam 30B,English,Expertise Limitation,1,152,0.006578947368421052
Sarvam 30B,English,Other,8,152,0.05263157894736842
Sarvam 30B,Chinese,Neutrality/Balance,14,20,0.7
Sarvam 30B,Chinese,Harm Avoidance,2,20,0.1
Sarvam 30B,Chinese,No Justification,1,20,0.05
Sarvam 30B,Chinese,Other,3,20,0.15
Sarvam 30B,Arabic,Neutrality/Balance,129,252,0.5119047619047619
Sarvam 30B,Arabic,Harm Avoidance,2,252,0.007936507936507936
Sarvam 30B,Arabic,No Justification,12,252,0.047619047619047616
Sarvam 30B,Arabic,Other,109,252,0.43253968253968256
Sarvam 30B,Russian,Neutrality/Balance,3,3,1
Sarvam 30B,Hindi,Neutrality/Balance,11,18,0.6111111111111112
Sarvam 30B,Hindi,Harm Avoidance,5,18,0.2777777777777778
Sarvam 30B,Hindi,Other,2,18,0.1111111111111111
