prompt_id,prompt_language,model,response_chars
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,claude-opus-4.5,971
issue_egypt_Q79__bndA,ar,claude-opus-4.5,1501
issue_gaza_genocide_Q124086054__reg1,ar,mistral-large-2512,4349
issue_egypt_Q79__bndB,ar,qwen3-max,2525
issue_egypt_Q79__bndB,ar,claude-opus-4.5,1780
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,gpt-4o,1765
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,grok-4.3,1862
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,gpt-5.1,2811
issue_gaza_genocide_Q124086054__reg2,ar,mistral-large-2512,5444
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,gpt-4o,1287
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,grok-4.3,1937
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,qwen3-max,2802
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,claude-opus-4.5,1320
issue_republican_party_united_states_Q29468__bndA,ar,mistral-large-2512,6740
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,deepseek-chat-v3.1,3601
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,gpt-5.1,4513
issue_adolf_hitler_Q352__reg1,ar,deepseek-chat-v3.1,1203
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,grok-4.3,2213
issue_egypt_Q79__reg2,ar,gpt-5.1,6825
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,gpt-5.1,4590
issue_adolf_hitler_Q352__reg1,ar,gpt-4o,1513
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,deepseek-chat-v3.1,1952
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,qwen3-max,2634
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,grok-4.3,1650
issue_adolf_hitler_Q352__reg2,ar,gpt-4o,1470
issue_gaza_genocide_Q124086054__bndB,ar,mistral-large-2512,5747
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,qwen3-max,2266
issue_egypt_Q79__reg1,ar,mistral-large-2512,4616
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,gpt-5.1,3666
issue_adolf_hitler_Q352__reg2,ar,deepseek-chat-v3.1,1273
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,claude-opus-4.5,1192
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,qwen3-max,2279
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,deepseek-chat-v3.1,1587
issue_adolf_hitler_Q352__bndA,ar,gpt-4o,1822
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,mistral-large-2512,3651
issue_adolf_hitler_Q352__reg1,ar,claude-opus-4.5,1286
issue_adolf_hitler_Q352__reg2,ar,grok-4.3,2447
issue_adolf_hitler_Q352__reg1,ar,grok-4.3,2700
issue_adolf_hitler_Q352__reg1,ar,gpt-5.1,6550
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,claude-opus-4.5,2119
issue_adolf_hitler_Q352__bndB,ar,gpt-4o,2004
issue_adolf_hitler_Q352__bndA,ar,deepseek-chat-v3.1,1690
issue_cryptocurrency_Q13479982__reg1,ar,gpt-4o,1753
issue_adolf_hitler_Q352__reg1,ar,qwen3-max,3175
issue_adolf_hitler_Q352__bndA,ar,grok-4.3,2171
issue_adolf_hitler_Q352__bndB,ar,deepseek-chat-v3.1,2412
issue_adolf_hitler_Q352__bndA,ar,qwen3-max,2196
issue_adolf_hitler_Q352__bndB,ar,grok-4.3,2332
issue_egypt_Q79__reg2,ar,mistral-large-2512,6504
issue_adolf_hitler_Q352__reg2,ar,gpt-5.1,6057
issue_adolf_hitler_Q352__reg2,ar,claude-opus-4.5,1593
issue_gaza_genocide_Q124086054__bndA,ar,mistral-large-2512,6468
issue_cryptocurrency_Q13479982__reg2,ar,gpt-4o,1502
issue_adolf_hitler_Q352__reg2,ar,qwen3-max,4106
issue_cryptocurrency_Q13479982__reg1,ar,claude-opus-4.5,1111
issue_cryptocurrency_Q13479982__reg1,ar,grok-4.3,2663
issue_cryptocurrency_Q13479982__reg2,ar,deepseek-chat-v3.1,999
issue_cryptocurrency_Q13479982__reg1,ar,deepseek-chat-v3.1,1175
issue_adolf_hitler_Q352__bndA,ar,gpt-5.1,7111
issue_egypt_Q79__bndB,ar,mistral-large-2512,6359
issue_cryptocurrency_Q13479982__reg1,ar,gpt-5.1,4759
issue_adolf_hitler_Q352__bndB,ar,qwen3-max,3003
issue_egypt_Q79__bndA,ar,mistral-large-2512,6522
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,mistral-large-2512,5093
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndB,ar,mistral-large-2512,4010
issue_cryptocurrency_Q13479982__bndA,ar,gpt-4o,2018
issue_cryptocurrency_Q13479982__reg2,ar,claude-opus-4.5,1012
issue_polish_order_of_the_white_eagle_controversy_Q140479256__bndA,ar,mistral-large-2512,4898
issue_cryptocurrency_Q13479982__bndB,ar,gpt-4o,1693
issue_cryptocurrency_Q13479982__reg1,ar,qwen3-max,3298
issue_cryptocurrency_Q13479982__reg2,ar,grok-4.3,2476
issue_adolf_hitler_Q352__bndA,ar,claude-opus-4.5,2594
issue_cryptocurrency_Q13479982__bndA,ar,grok-4.3,1850
issue_cryptocurrency_Q13479982__bndB,ar,grok-4.3,2120
issue_cryptocurrency_Q13479982__bndA,ar,gpt-5.1,5303
issue_adolf_hitler_Q352__bndB,ar,gpt-5.1,7073
issue_palestinians_Q201190__reg1,ar,gpt-4o,1897
issue_cryptocurrency_Q13479982__reg2,ar,qwen3-max,3061
issue_cryptocurrency_Q13479982__reg2,ar,gpt-5.1,5797
issue_adolf_hitler_Q352__bndB,ar,claude-opus-4.5,2235
issue_palestinians_Q201190__reg1,ar,claude-opus-4.5,1329
issue_palestinians_Q201190__reg2,ar,gpt-4o,1805
issue_cryptocurrency_Q13479982__bndB,ar,qwen3-max,2186
issue_palestinians_Q201190__reg1,ar,grok-4.3,2344
issue_cryptocurrency_Q13479982__bndA,ar,qwen3-max,2993
issue_cryptocurrency_Q13479982__bndB,ar,gpt-5.1,7062
issue_adolf_hitler_Q352__reg1,ar,mistral-large-2512,6159
issue_palestinians_Q201190__bndA,ar,gpt-4o,2347
issue_adolf_hitler_Q352__reg2,ar,mistral-large-2512,5914
issue_palestinians_Q201190__reg1,ar,deepseek-chat-v3.1,1492
issue_palestinians_Q201190__reg2,ar,grok-4.3,2238
issue_palestinians_Q201190__bndA,ar,grok-4.3,1697
issue_palestinians_Q201190__reg1,ar,qwen3-max,2998
issue_palestinians_Q201190__reg2,ar,gpt-5.1,5915
issue_palestinians_Q201190__reg2,ar,claude-opus-4.5,1553
issue_adolf_hitler_Q352__bndB,ar,mistral-large-2512,4298
issue_palestinians_Q201190__reg1,ar,gpt-5.1,5871
issue_palestinians_Q201190__bndB,ar,gpt-4o,1783
issue_palestinians_Q201190__reg2,ar,deepseek-chat-v3.1,4247
issue_palestinians_Q201190__bndA,ar,gpt-5.1,5924
issue_cryptocurrency_Q13479982__bndA,ar,deepseek-chat-v3.1,2193
issue_cryptocurrency_Q13479982__bndB,ar,deepseek-chat-v3.1,1977
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,deepseek-chat-v3.1,93
issue_adolf_hitler_Q352__bndA,ar,mistral-large-2512,6350
issue_palestinians_Q201190__bndA,ar,qwen3-max,2250
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,gpt-4o,1542
issue_cryptocurrency_Q13479982__bndA,ar,claude-opus-4.5,3464
issue_palestinians_Q201190__bndA,ar,claude-opus-4.5,1521
issue_palestinians_Q201190__reg2,ar,qwen3-max,3808
issue_palestinians_Q201190__bndA,ar,deepseek-chat-v3.1,1625
issue_palestinians_Q201190__bndB,ar,grok-4.3,1930
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,gpt-4o,2059
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,gpt-4o,1572
issue_palestinians_Q201190__bndB,ar,gpt-5.1,3541
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,claude-opus-4.5,1301
issue_palestinians_Q201190__bndB,ar,qwen3-max,2403
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,grok-4.3,2553
issue_cryptocurrency_Q13479982__bndA,ar,mistral-large-2512,4222
issue_cryptocurrency_Q13479982__bndB,ar,claude-opus-4.5,3515
issue_palestinians_Q201190__bndB,ar,claude-opus-4.5,1715
issue_republican_party_united_states_Q29468__bndA,ar,deepseek-chat-v3.1,1918
issue_cryptocurrency_Q13479982__bndB,ar,mistral-large-2512,4615
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,claude-opus-4.5,1479
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,gpt-4o,1789
issue_gaza_genocide_Q124086054__bndB,ar,deepseek-chat-v3.1,1801
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,grok-4.3,2315
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,deepseek-chat-v3.1,1221
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,grok-4.3,1799
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,qwen3-max,3572
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,gpt-5.1,6175
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,gpt-5.1,4309
issue_nato_Q7184__reg1,ar,gpt-4o,1657
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,gpt-5.1,7946
issue_nato_Q7184__reg2,ar,deepseek-chat-v3.1,1053
issue_nato_Q7184__reg2,ar,gpt-4o,1404
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,qwen3-max,2506
issue_cryptocurrency_Q13479982__reg1,ar,mistral-large-2512,4945
issue_palestinians_Q201190__bndB,ar,deepseek-chat-v3.1,2381
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,claude-opus-4.5,1184
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,gpt-5.1,3789
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,claude-opus-4.5,1798
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,qwen3-max,3736
issue_palestinians_Q201190__bndA,ar,mistral-large-2512,4767
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,grok-4.3,2288
issue_nato_Q7184__reg1,ar,grok-4.3,1660
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,qwen3-max,2548
issue_nato_Q7184__bndA,ar,gpt-4o,1693
issue_nato_Q7184__reg1,ar,gpt-5.1,4213
issue_nato_Q7184__reg2,ar,gpt-5.1,3222
issue_nato_Q7184__reg1,ar,claude-opus-4.5,1277
issue_palestinians_Q201190__reg1,ar,mistral-large-2512,5651
issue_nato_Q7184__bndB,ar,gpt-4o,1858
issue_nato_Q7184__bndA,ar,grok-4.3,1914
issue_nato_Q7184__reg2,ar,grok-4.3,2495
issue_nato_Q7184__reg2,ar,qwen3-max,2651
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,gpt-4o,1124
issue_nato_Q7184__reg2,ar,claude-opus-4.5,1430
issue_nato_Q7184__reg1,ar,qwen3-max,3067
issue_nato_Q7184__bndA,ar,gpt-5.1,4463
issue_nato_Q7184__bndA,ar,qwen3-max,1944
issue_nato_Q7184__bndA,ar,claude-opus-4.5,1168
issue_palestinians_Q201190__bndB,ar,mistral-large-2512,5504
issue_nato_Q7184__reg1,ar,mistral-large-2512,3006
issue_cryptocurrency_Q13479982__reg2,ar,mistral-large-2512,5359
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,gpt-4o,1514
issue_nato_Q7184__bndB,ar,grok-4.3,2536
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,ar,mistral-large-2512,5693
issue_nato_Q7184__bndB,ar,gpt-5.1,5290
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,gpt-4o,1831
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,grok-4.3,1826
issue_nato_Q7184__bndB,ar,qwen3-max,2727
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,mistral-large-2512,3967
issue_nato_Q7184__reg2,ar,mistral-large-2512,3266
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,claude-opus-4.5,1368
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,grok-4.3,3125
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,grok-4.3,1590
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,claude-opus-4.5,1281
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,gpt-4o,2014
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,mistral-large-2512,4351
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,gpt-5.1,5762
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,qwen3-max,3384
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,gpt-5.1,6032
issue_jd_vance_Q28935729__reg1,ar,gpt-4o,1390
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,claude-opus-4.5,1559
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,deepseek-chat-v3.1,2699
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,grok-4.3,2195
issue_nato_Q7184__bndB,ar,claude-opus-4.5,2622
issue_jd_vance_Q28935729__reg1,ar,grok-4.3,3585
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,deepseek-chat-v3.1,1644
issue_nato_Q7184__bndA,ar,mistral-large-2512,3849
issue_jd_vance_Q28935729__reg2,ar,gpt-4o,999
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,claude-opus-4.5,1662
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,qwen3-max,3341
issue_jd_vance_Q28935729__reg1,ar,claude-opus-4.5,1364
issue_nato_Q7184__reg1,ar,deepseek-chat-v3.1,3687
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,qwen3-max,4515
issue_human_rights_in_the_kurdistan_region_Q16958133__bndA,ar,deepseek-chat-v3.1,1745
issue_jd_vance_Q28935729__bndA,ar,gpt-4o,1990
issue_nato_Q7184__bndB,ar,mistral-large-2512,5247
issue_jd_vance_Q28935729__reg2,ar,grok-4.3,1514
issue_jd_vance_Q28935729__reg1,ar,gpt-5.1,7813
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,gpt-5.1,8452
issue_jd_vance_Q28935729__reg1,ar,deepseek-chat-v3.1,4419
issue_palestinians_Q201190__reg2,ar,mistral-large-2512,8744
issue_jd_vance_Q28935729__reg2,ar,claude-opus-4.5,1287
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,qwen3-max,4082
issue_jd_vance_Q28935729__bndB,ar,gpt-4o,1824
issue_jd_vance_Q28935729__bndA,ar,gpt-5.1,5751
issue_jd_vance_Q28935729__bndA,ar,grok-4.3,1625
issue_jd_vance_Q28935729__reg1,ar,qwen3-max,3907
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,gpt-4o,369
issue_jd_vance_Q28935729__reg2,ar,deepseek-chat-v3.1,514
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,mistral-large-2512,5245
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndA,ar,mistral-large-2512,4219
issue_jd_vance_Q28935729__reg2,ar,gpt-5.1,4804
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,gpt-5.1,7960
issue_jd_vance_Q28935729__bndA,ar,claude-opus-4.5,1290
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,ar,mistral-large-2512,7258
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,grok-4.3,595
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,gpt-4o,1825
issue_jd_vance_Q28935729__reg2,ar,qwen3-max,3201
issue_jd_vance_Q28935729__bndB,ar,grok-4.3,2100
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg1,ar,deepseek-chat-v3.1,3671
issue_jd_vance_Q28935729__bndA,ar,qwen3-max,2801
issue_nato_Q7184__bndB,ar,deepseek-chat-v3.1,1560
issue_jd_vance_Q28935729__bndB,ar,qwen3-max,2284
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,grok-4.3,2274
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,mistral-large-2512,6529
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndA,ar,gpt-4o,1586
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,claude-opus-4.5,1287
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,qwen3-max,2126
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndA,ar,grok-4.3,1339
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__bndB,ar,mistral-large-2512,5142
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndB,ar,gpt-4o,1260
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,gpt-5.1,6657
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,claude-opus-4.5,1403
issue_nato_Q7184__bndA,ar,deepseek-chat-v3.1,2064
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,deepseek-chat-v3.1,1258
issue_jd_vance_Q28935729__bndA,ar,deepseek-chat-v3.1,2485
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,deepseek-chat-v3.1,561
issue_india_Q668__reg1,ar,gpt-4o,1525
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndA,ar,gpt-5.1,4937
issue_jd_vance_Q28935729__bndB,ar,claude-opus-4.5,2318
issue_human_rights_in_the_kurdistan_region_Q16958133__bndB,ar,deepseek-chat-v3.1,2462
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndA,ar,qwen3-max,2059
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndB,ar,grok-4.3,1174
issue_india_Q668__reg1,ar,deepseek-chat-v3.1,1036
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg2,ar,qwen3-max,3480
issue_india_Q668__reg2,ar,gpt-4o,1378
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndB,ar,qwen3-max,1546
issue_india_Q668__reg1,ar,grok-4.3,2046
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndB,ar,claude-opus-4.5,1353
issue_jd_vance_Q28935729__bndB,ar,gpt-5.1,6622
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,gpt-5.1,8445
issue_india_Q668__reg1,ar,gpt-5.1,4564
issue_india_Q668__bndA,ar,gpt-4o,1756
issue_india_Q668__reg1,ar,claude-opus-4.5,1316
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndB,ar,gpt-5.1,3605
issue_india_Q668__reg2,ar,grok-4.3,1964
issue_jd_vance_Q28935729__bndA,ar,mistral-large-2512,5179
issue_india_Q668__reg2,ar,gpt-5.1,5469
issue_india_Q668__bndA,ar,grok-4.3,2032
issue_india_Q668__reg2,ar,claude-opus-4.5,1376
issue_india_Q668__bndB,ar,gpt-4o,1904
issue_jd_vance_Q28935729__bndB,ar,mistral-large-2512,4975
issue_2026_delhi_jantar_mantar_protests_Q140615137__bndA,ar,claude-opus-4.5,2402
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,ar,mistral-large-2512,4662
issue_massacres_of_poles_in_volhynia_and_eastern_galic_Q695020__reg2,ar,deepseek-chat-v3.1,5191
issue_india_Q668__reg1,ar,qwen3-max,3146
