prompt_id,prompt_language,model,issue_id,region_focus,jurisdiction,topic_domain,tier,battery,engagement_code,code,code_label,reason_group,n_chars,neighbour_purity,neighbour_purity_group,umap_x,umap_y,seed,n_neighbors,min_dist,metric,representation,purity_k,purity_observed,purity_baseline,purity_group_observed,purity_group_baseline
issue_kyiv_strikes_2022_present_Q116969194__reg2,en,allam-7b,issue_kyiv_strikes_2022_present_Q116969194,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,5457,0.5333333333333333,0.5333333333333333,4.284216,10.635473,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_arab_citizens_of_israel_Q204333__reg1,en,allam-7b,issue_arab_citizens_of_israel_Q204333,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,A,A neutrality,neutrality,6428,0.6666666666666666,0.6666666666666666,4.049363,10.660162,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_united_kingdom_Q145__reg1,en,claude-opus-4.5,issue_united_kingdom_Q145,Europe,EU,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,1527,0.4666666666666667,0.4666666666666667,3.9120688,8.29132,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_united_kingdom_Q145__reg1,en,gpt-4o,issue_united_kingdom_Q145,Europe,EU,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2213,0.9333333333333333,0.9333333333333333,3.6396165,9.407598,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_united_kingdom_Q145__reg1,en,allam-7b,issue_united_kingdom_Q145,Europe,EU,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2086,0.5333333333333333,0.5333333333333333,4.2555795,10.737535,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_united_kingdom_Q145__reg1,en,falcon3-10b,issue_united_kingdom_Q145,Europe,EU,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,451,1.0,1.0,3.9757192,9.302196,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_united_kingdom_Q145__reg2,en,falcon3-10b,issue_united_kingdom_Q145,Europe,EU,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,641,0.7333333333333333,0.7333333333333333,4.1943545,10.264512,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_temple_mount_Q193163__reg1,en,falcon3-10b,issue_temple_mount_Q193163,Arab,MENA,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,568,0.9333333333333333,0.9333333333333333,4.1353636,9.452808,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,sarvam-30b,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,795,1.0,1.0,4.320587,8.603671,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_p_ter_magyar_Q124488292__reg2,en,claude-opus-4.5,issue_p_ter_magyar_Q124488292,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,1411,0.2,0.2,4.0209045,8.057929,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_california_billionaire_tax_initiative_Q139023642__reg1,en,deepseek-chat-v3.1,issue_2026_california_billionaire_tax_initiative_Q139023642,US,US,economic_policy,regular,rebalanced,4,A,A neutrality,neutrality,2216,1.0,1.0,3.6888454,9.195571,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_prime_minister_of_hungary_Q3315094__reg1,en,gpt-4o,issue_prime_minister_of_hungary_Q3315094,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,1872,1.0,1.0,3.534178,9.160344,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_prime_minister_of_hungary_Q3315094__reg1,en,claude-opus-4.5,issue_prime_minister_of_hungary_Q3315094,Europe,EU,governance_democracy,regular,rebalanced,4,D,D expertise limitation,epistemic,1185,0.4,0.4,3.995647,8.129123,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_1980s_islamist_nationalist_conflict_in_palestini_Q137518435__reg1,en,allam-7b,issue_1980s_islamist_nationalist_conflict_in_palestini_Q137518435,Arab,MENA,religion_state,regular,rebalanced,4,G,G other,other,5848,0.26666666666666666,0.26666666666666666,4.0516167,10.672826,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_hamas_government_of_october_2016_Q28419419__reg1,en,claude-opus-4.5,issue_hamas_government_of_october_2016_Q28419419,Arab,MENA,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,1057,1.0,1.0,4.317433,8.617587,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_religion_in_pakistan_Q3246536__reg1,en,allam-7b,issue_religion_in_pakistan_Q3246536,General,,religion_state,regular,rebalanced,4,G,G other,other,4778,0.5333333333333333,0.5333333333333333,4.461429,10.906448,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg1,en,gpt-4o,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1875,1.0,1.0,4.315572,8.663042,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg1,en,deepseek-chat-v3.1,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,G,G other,other,469,0.2,0.2,2.4493816,8.886951,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg1,en,qwen3-max,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2083,1.0,1.0,4.3689604,8.736277,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg2,en,gpt-4o,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2110,0.8,0.8,4.2228084,8.624983,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg2,en,qwen3-max,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1734,0.8,0.8,4.1979594,8.625877,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg2,en,allam-7b,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,3334,0.8,0.8,4.4804306,10.312943,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,sarvam-30b,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,G,G other,other,2021,0.06666666666666667,0.06666666666666667,3.7629473,9.03879,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_assassination_of_ismail_haniyeh_Q128172378__reg1,en,falcon3-10b,issue_assassination_of_ismail_haniyeh_Q128172378,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,367,1.0,1.0,4.0150404,9.378156,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_houthi_Q3042087__reg1,en,claude-opus-4.5,issue_houthi_Q3042087,Arab,MENA,security_conflict,regular,rebalanced,4,G,G other,other,1445,0.2,0.2,3.9733999,8.387211,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_hezbollah_israel_conflict_2023_present_Q122974556__reg2,en,claude-opus-4.5,issue_hezbollah_israel_conflict_2023_present_Q122974556,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1525,0.3333333333333333,0.3333333333333333,4.050288,8.353471,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_hezbollah_israel_conflict_2023_present_Q122974556__reg1,en,falcon3-10b,issue_hezbollah_israel_conflict_2023_present_Q122974556,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2432,0.8666666666666667,0.8666666666666667,4.211779,8.656946,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_economic_impact_of_the_2026_iran_war_Q138550576__reg1,en,falcon3-10b,issue_economic_impact_of_the_2026_iran_war_Q138550576,General,,economic_policy,regular,rebalanced,4,A,A neutrality,neutrality,406,1.0,1.0,3.6900535,9.215179,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg1,en,claude-opus-4.5,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,G,G other,other,1397,0.4,0.4,3.9559748,8.225384,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg1,en,qwen3-max,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1853,1.0,1.0,4.233134,9.00134,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,gpt-4o,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1887,0.8,0.8,3.7836514,9.112453,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,deepseek-chat-v3.1,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,5,A,A neutrality,neutrality,115,0.7333333333333333,0.7333333333333333,-6.40862,16.00529,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg1,en,gpt-5.1,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,7442,0.9333333333333333,0.9333333333333333,4.0578256,9.023694,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,gpt-5.1,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,4554,1.0,1.0,3.6987948,9.213776,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg1,en,allam-7b,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1668,0.8,0.8,4.1935816,10.806292,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,claude-opus-4.5,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,G,G other,other,1345,0.3333333333333333,0.3333333333333333,3.9570026,8.184968,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,qwen3-max,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,G,G other,other,1316,0.13333333333333333,0.13333333333333333,3.2384028,9.306068,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,allam-7b,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,G,G other,other,2490,0.2,0.2,3.518032,9.689143,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg2,en,jais-8b,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,3612,1.0,1.0,3.6962,9.182769,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_white_supremacy_Q698752__reg1,en,allam-7b,issue_white_supremacy_Q698752,US,US,civil_rights_liberties,regular,rebalanced,4,G,G other,other,1748,0.5333333333333333,0.5333333333333333,4.472709,10.910645,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_board_of_peace_Q136402081__reg1,en,falcon3-10b,issue_board_of_peace_Q136402081,US,US,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,630,1.0,1.0,3.9593315,9.287959,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_ariel_sharon_Q60206__reg2,en,allam-7b,issue_ariel_sharon_Q60206,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,5436,0.3333333333333333,0.3333333333333333,3.6253755,9.784846,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_muslim_brotherhood_Q133207__reg2,en,allam-7b,issue_muslim_brotherhood_Q133207,Arab,MENA,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,2012,0.4666666666666667,0.4666666666666667,4.3846045,10.932193,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg1,en,gpt-4o,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2400,0.9333333333333333,0.9333333333333333,3.5858762,9.0728445,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg1,en,claude-opus-4.5,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,1169,0.3333333333333333,0.3333333333333333,4.0880527,7.9018044,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg1,en,gpt-5.1,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,6654,0.8,0.8,3.6876733,9.028004,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg1,en,qwen3-max,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2463,0.9333333333333333,0.9333333333333333,3.5706568,9.0199585,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg2,en,claude-opus-4.5,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,1354,0.2,0.2,3.977287,8.142887,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_hungarian_parliamentary_election_Q125627220__reg2,en,gpt-5.1,issue_2026_hungarian_parliamentary_election_Q125627220,Europe,EU,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,4029,0.8,0.8,3.774763,8.987782,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
