original_path,new_path,action,classification,reason,evidence,upstream_creator,downstream_references,sha256_before,sha256_after,size_bytes,reproducible,contains_unique_evidence,tracked_status,applied
docs/EXTERNAL_VALIDATION_DESIGN.md,archive/2026-09-01_pre_rationalization/docs/EXTERNAL_VALIDATION_DESIGN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,243c0bec1d702c9addc140ec7cdfdc432d7063606f12be81707cde46e0f3268f,243c0bec1d702c9addc140ec7cdfdc432d7063606f12be81707cde46e0f3268f,8687,true,true,ignored_or_untracked,true
docs/FIGURE_ESTIMAND_AUDIT.md,archive/2026-09-01_pre_rationalization/docs/FIGURE_ESTIMAND_AUDIT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,db866d87f7d41edf2daf1ab03bad086f4b3e7e9781d25767268f5ae506b12e16,db866d87f7d41edf2daf1ab03bad086f4b3e7e9781d25767268f5ae506b12e16,23450,true,true,tracked,true
docs/FIGURE_REDESIGN_MEMO.md,archive/2026-09-01_pre_rationalization/docs/FIGURE_REDESIGN_MEMO.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,4ed086ec836a51c4ed627308126ee2f71935c0ad6bc4b3265571c9cfb9f97150,4ed086ec836a51c4ed627308126ee2f71935c0ad6bc4b3265571c9cfb9f97150,13003,true,true,tracked,true
docs/FIGURE_SYSTEM_FINAL_AUDIT.md,archive/2026-09-01_pre_rationalization/docs/FIGURE_SYSTEM_FINAL_AUDIT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,fc77fd2749b93cf5bd5b3fbe8ac6814e5488200089795bcd623cf79be564bb55,fc77fd2749b93cf5bd5b3fbe8ac6814e5488200089795bcd623cf79be564bb55,9490,true,true,tracked,true
docs/FIGURE_SYSTEM_MEMO.md,archive/2026-09-01_pre_rationalization/docs/FIGURE_SYSTEM_MEMO.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,c48ce46726d564015004b21bdd9309d0a99649e9822951b8de935e6db0fbe89d,c48ce46726d564015004b21bdd9309d0a99649e9822951b8de935e6db0fbe89d,22262,true,true,tracked,true
docs/FOLD_NESTED_REFUSAL_REFINEMENT.md,archive/2026-09-01_pre_rationalization/docs/FOLD_NESTED_REFUSAL_REFINEMENT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,06585ed358a1fac871de41d31542f31c6e691e57f15b1d4449cdfdf278d83032,06585ed358a1fac871de41d31542f31c6e691e57f15b1d4449cdfdf278d83032,6911,true,true,ignored_or_untracked,true
docs/GO.md,archive/2026-09-01_pre_rationalization/docs/GO.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,feb605d0de92be33ed23d17de6e5238b36a78cda798cfb825268ae5859644ae9,feb605d0de92be33ed23d17de6e5238b36a78cda798cfb825268ae5859644ae9,6806,true,true,tracked,true
docs/HOME_HUMAN_AUGMENTATION_DESIGN.md,archive/2026-09-01_pre_rationalization/docs/HOME_HUMAN_AUGMENTATION_DESIGN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,40f20fe062d79258c5068cbbb72ac1677bc0dccdf2ef544a08199aa00c49a474,40f20fe062d79258c5068cbbb72ac1677bc0dccdf2ef544a08199aa00c49a474,8276,true,true,ignored_or_untracked,true
docs/HUMAN_DSL_PRECISION_AUDIT.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_DSL_PRECISION_AUDIT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f14cb8a7c58ada8ba6ebe9dc74a8edfa3352758438bce60869a4a048a9a0f2e7,f14cb8a7c58ada8ba6ebe9dc74a8edfa3352758438bce60869a4a048a9a0f2e7,9700,true,true,ignored_or_untracked,true
docs/HUMAN_ENRICHMENT_DESIGN.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_ENRICHMENT_DESIGN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,7ab2ee7b8a67abdd1ba1da715991ecc2bd474b39b5beb59b425184158ffe87e1,7ab2ee7b8a67abdd1ba1da715991ecc2bd474b39b5beb59b425184158ffe87e1,5266,true,true,ignored_or_untracked,true
docs/HUMAN_ENRICHMENT_DESIGN_V2.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_ENRICHMENT_DESIGN_V2.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,0bf16cf074ee3a9870de34be2069d2fb666c9c277eff373411ac438ca863096f,0bf16cf074ee3a9870de34be2069d2fb666c9c277eff373411ac438ca863096f,8558,true,true,ignored_or_untracked,true
docs/HUMAN_PILOT_LANGUAGE_CORRECTED_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_PILOT_LANGUAGE_CORRECTED_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,662254c94c2c75ab9380e7e08949c2eb339615c5b2f9ff2e16f485f1654b872f,662254c94c2c75ab9380e7e08949c2eb339615c5b2f9ff2e16f485f1654b872f,6836,true,true,ignored_or_untracked,true
docs/HUMAN_PILOT_PRELIMINARY_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_PILOT_PRELIMINARY_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b021f94919b9834c37b697780c32bef149310f2bd61a1cbba9747a5321a178be,b021f94919b9834c37b697780c32bef149310f2bd61a1cbba9747a5321a178be,6833,true,true,ignored_or_untracked,true
docs/HUMAN_REFERENCED_DSL.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_REFERENCED_DSL.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,10de76662f77ea56bfdebcfe14374421892aa7d0346975b53868b2673e26f4d9,10de76662f77ea56bfdebcfe14374421892aa7d0346975b53868b2673e26f4d9,21822,true,true,ignored_or_untracked,true
docs/HUMAN_TRANSLATION_APPROVAL.md,archive/2026-09-01_pre_rationalization/docs/HUMAN_TRANSLATION_APPROVAL.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,5e8b8ce731c40e324aff6595518363869c5400119a843893a27c3bedbb63b541,5e8b8ce731c40e324aff6595518363869c5400119a843893a27c3bedbb63b541,5984,true,true,ignored_or_untracked,true
docs/INDIA_SARVAM_HINDI_INTEGRATION.md,archive/2026-09-01_pre_rationalization/docs/INDIA_SARVAM_HINDI_INTEGRATION.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,a9493f09a37208f85d9375e3ec453d03513d64cf239571bf7a9c9a694f7e1057,a9493f09a37208f85d9375e3ec453d03513d64cf239571bf7a9c9a694f7e1057,7634,true,true,tracked,true
docs/LUNA_V22_INTERNAL_READINESS_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/LUNA_V22_INTERNAL_READINESS_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,e75183f388bd1b64b155e2a3d9d72e789b434a66344ae6068de4240f50435b10,e75183f388bd1b64b155e2a3d9d72e789b434a66344ae6068de4240f50435b10,6194,true,true,ignored_or_untracked,true
docs/LUNA_V22_INTERNAL_READINESS_TEST.md,archive/2026-09-01_pre_rationalization/docs/LUNA_V22_INTERNAL_READINESS_TEST.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,e8d12153bd35f12a73f43bf45e7a8b7b627c4971bb8479df12fb943296416948,e8d12153bd35f12a73f43bf45e7a8b7b627c4971bb8479df12fb943296416948,6045,true,true,ignored_or_untracked,true
docs/MENA_HF_ENDPOINT_INTEGRATION.md,archive/2026-09-01_pre_rationalization/docs/MENA_HF_ENDPOINT_INTEGRATION.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,526ef8a354b75352cd539743a5fa642e37e1ba710792caeb04ff2b77e6497243,526ef8a354b75352cd539743a5fa642e37e1ba710792caeb04ff2b77e6497243,12229,true,true,tracked,true
docs/MENA_LOCAL_INTEGRATION.md,archive/2026-09-01_pre_rationalization/docs/MENA_LOCAL_INTEGRATION.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,a53e283f3e5870dfcd84b496ef8ae49eef0f97ea28e59e850a77c29a65474e3b,a53e283f3e5870dfcd84b496ef8ae49eef0f97ea28e59e850a77c29a65474e3b,8182,true,true,tracked,true
docs/MIGRATION_MAP.md,archive/2026-09-01_pre_rationalization/docs/MIGRATION_MAP.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,5132fbdb0d6243e5d3117717ce5269e4e00955cafbdc05eb3bb8428701b42251,5132fbdb0d6243e5d3117717ce5269e4e00955cafbdc05eb3bb8428701b42251,15460,true,true,tracked,true
docs/MULTI_JUDGE_PLAN.md,archive/2026-09-01_pre_rationalization/docs/MULTI_JUDGE_PLAN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,9f37174f4e199237a526a4acd542cc6095fcaf27bba95267058d4b4a6e42c2d7,9f37174f4e199237a526a4acd542cc6095fcaf27bba95267058d4b4a6e42c2d7,29350,true,true,tracked,true
docs/NEXT_STEPS.md,archive/2026-09-01_pre_rationalization/docs/NEXT_STEPS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f7c2747760dbb875b1a19b02677aed23640bd2aeb1a78e6996e526f3595b75e5,f7c2747760dbb875b1a19b02677aed23640bd2aeb1a78e6996e526f3595b75e5,56486,true,true,tracked,true
docs/PILOT_V1_REPORT.md,archive/2026-09-01_pre_rationalization/docs/PILOT_V1_REPORT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,0cc9cbff863108894ec371cf12814851a71a5f84dfbe80075f6d4a0e54906b3d,0cc9cbff863108894ec371cf12814851a71a5f84dfbe80075f6d4a0e54906b3d,6066,true,true,tracked,true
docs/PIPELINE_SCALABILITY_REVIEW.md,archive/2026-09-01_pre_rationalization/docs/PIPELINE_SCALABILITY_REVIEW.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b2288efecc373058834d57b917c636ee9db0058b5fd592f4f650ca36871eb50a,b2288efecc373058834d57b917c636ee9db0058b5fd592f4f650ca36871eb50a,15705,true,true,ignored_or_untracked,true
docs/PROTECTED_SURROGATE_EVALUATION_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/PROTECTED_SURROGATE_EVALUATION_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,d8436eaf8a1ca20b26fcf9f0a21ee393062fb517af6f208682efdff9cd0a88b5,d8436eaf8a1ca20b26fcf9f0a21ee393062fb517af6f208682efdff9cd0a88b5,5707,true,true,ignored_or_untracked,true
docs/REPORT_REVISION_PLAN.md,archive/2026-09-01_pre_rationalization/docs/REPORT_REVISION_PLAN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,07368ea2c818062d80e02ca2ba2dea2ea8d34833e7c27155fb02c7e04fda6cc5,07368ea2c818062d80e02ca2ba2dea2ea8d34833e7c27155fb02c7e04fda6cc5,20287,true,true,tracked,true
docs/RESPONSE_VALIDITY_DSL.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_DSL.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f7ba7b6e092c4efba0a555cbc136a80889d6ab7104579545e6929f8efa03215d,f7ba7b6e092c4efba0a555cbc136a80889d6ab7104579545e6929f8efa03215d,15704,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_DSL_AUGMENTATION.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_DSL_AUGMENTATION.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,7b2594efd45c653cd02be5319f3dc3d961a40ccac5bbd72473fdf60ce684d472,7b2594efd45c653cd02be5319f3dc3d961a40ccac5bbd72473fdf60ce684d472,4734,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_DSL_DESIGN.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_DSL_DESIGN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,433be71d7ebe45154dfd5dabfe0198dc9091fef97aa39f39ad865f8d135875f5,433be71d7ebe45154dfd5dabfe0198dc9091fef97aa39f39ad865f8d135875f5,3032,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_DSL_RUN.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_DSL_RUN.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,7b41c9ccffaf7b5139f115b3d4c9508136ac4ef282161ebccf113601c79fc660,7b41c9ccffaf7b5139f115b3d4c9508136ac4ef282161ebccf113601c79fc660,13223,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_MODEL_BAKEOFF_V2.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_MODEL_BAKEOFF_V2.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,a7bdf699826ef22b8e26269fd751d7f694976eaec4685c5ac93a777bdd9528d1,a7bdf699826ef22b8e26269fd751d7f694976eaec4685c5ac93a777bdd9528d1,13277,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_MODEL_BAKEOFF_V2_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_MODEL_BAKEOFF_V2_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,347ed342239046b006a2a59ebfe0b4d36b134499e05bbdc88f069b532d2556fb,347ed342239046b006a2a59ebfe0b4d36b134499e05bbdc88f069b532d2556fb,5410,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b7b95aed6094641aa201d352b9c0f2280c3d01f5a42d00508956eccd3c4a0b24,b7b95aed6094641aa201d352b9c0f2280c3d01f5a42d00508956eccd3c4a0b24,3502,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_V11_PILOT.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_V11_PILOT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,649e0611d274dac38ee92baf95c92e6c68cdf5e35d576390138fdd5b08af99d2,649e0611d274dac38ee92baf95c92e6c68cdf5e35d576390138fdd5b08af99d2,11287,true,true,ignored_or_untracked,true
docs/RESPONSE_VALIDITY_V11_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/RESPONSE_VALIDITY_V11_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,7955ecfe8d1cff18780ef726df77b239cbd6cff8391eb777e037e4f84d0a6e7e,7955ecfe8d1cff18780ef726df77b239cbd6cff8391eb777e037e4f84d0a6e7e,6417,true,true,ignored_or_untracked,true
docs/SCALABLE_ANNOTATION_BAKEOFF.md,archive/2026-09-01_pre_rationalization/docs/SCALABLE_ANNOTATION_BAKEOFF.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,aa46fa898646e7e0ccca3b0466a9a3f47c1ffebbf1ae4a4bd7ce83ecb387364d,aa46fa898646e7e0ccca3b0466a9a3f47c1ffebbf1ae4a4bd7ce83ecb387364d,8011,true,true,ignored_or_untracked,true
docs/SCALABLE_ANNOTATION_BAKEOFF_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/SCALABLE_ANNOTATION_BAKEOFF_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,8233e2327afcbf43cfd00dde7123fdf6b62d4b6a7a3e116b3326352850fa7c23,8233e2327afcbf43cfd00dde7123fdf6b62d4b6a7a3e116b3326352850fa7c23,7177,true,true,ignored_or_untracked,true
docs/STAGE18_PRELIMINARY_V2_2.md,archive/2026-09-01_pre_rationalization/docs/STAGE18_PRELIMINARY_V2_2.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,67c1186551d925a053e8f3c11c8e34eb4423dbc0376b0567f92aae3e396fc3cf,67c1186551d925a053e8f3c11c8e34eb4423dbc0376b0567f92aae3e396fc3cf,4045,true,true,ignored_or_untracked,true
docs/STAGE_A_18_DISAGREEMENT_CASES.md,archive/2026-09-01_pre_rationalization/docs/STAGE_A_18_DISAGREEMENT_CASES.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,78ff168f1e0759f4e4dcfd09764cbd409085443051d82e390d55d1c8b1c3bdf7,78ff168f1e0759f4e4dcfd09764cbd409085443051d82e390d55d1c8b1c3bdf7,208324,true,true,ignored_or_untracked,true
docs/STAGE_A_ADJUDICATION_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/STAGE_A_ADJUDICATION_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,f98c084d3339cb6b05c7e4db86039b98b28e9c4c5447cd8da66e34ba3cfda78d,f98c084d3339cb6b05c7e4db86039b98b28e9c4c5447cd8da66e34ba3cfda78d,4553,true,true,ignored_or_untracked,true
docs/SURROGATE_BAKEOFF_STAGE_A_RESULTS.md,archive/2026-09-01_pre_rationalization/docs/SURROGATE_BAKEOFF_STAGE_A_RESULTS.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,1487e0766a1dfb7c8899102aeb9d6e6f82a31f0b46281832f94633a18539ae6e,1487e0766a1dfb7c8899102aeb9d6e6f82a31f0b46281832f94633a18539ae6e,5661,true,true,ignored_or_untracked,true
docs/SURROGATE_BAKEOFF_STAGE_B.md,archive/2026-09-01_pre_rationalization/docs/SURROGATE_BAKEOFF_STAGE_B.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b02c99e3dadc1b4db49f4b46f49af6b186e3bed25f6464ab9f80b1856ec088b7,b02c99e3dadc1b4db49f4b46f49af6b186e3bed25f6464ab9f80b1856ec088b7,8196,true,true,ignored_or_untracked,true
docs/SURROGATE_BAKEOFF_V1.md,archive/2026-09-01_pre_rationalization/docs/SURROGATE_BAKEOFF_V1.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,ddc7371f646b04119bd83345e0bade34a1fdec65067b5a9763edae6f13d163a1,ddc7371f646b04119bd83345e0bade34a1fdec65067b5a9763edae6f13d163a1,6502,true,true,ignored_or_untracked,true
docs/budget_estimate.json,archive/2026-09-01_pre_rationalization/docs/budget_estimate.json,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,35794300a34489bdbf92f9eb6d6197b3c5d31ac21d91f3c5a82a1139f0c7de52,35794300a34489bdbf92f9eb6d6197b3c5d31ac21d91f3c5a82a1139f0c7de52,3033,true,true,tracked,true
