path,file_type,tracked_status,size_bytes,scientific_role,created_by,upstream_inputs,downstream_consumers,current_status,canonical_or_supporting,reproducible,contains_unique_evidence,recommended_action,confidence,evidence,new_path,sha256_before,sha256_after
annotations/full_v1/ann/rebalanced_ar.jsonl,jsonl,ignored,29424711,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,f8ef52bfe3e064841624f49ea4b17fecc65d1cab687f4edb217dddf8bf3aab13,f8ef52bfe3e064841624f49ea4b17fecc65d1cab687f4edb217dddf8bf3aab13
annotations/full_v1/ann/rebalanced_en.jsonl,jsonl,ignored,31623279,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,5729647c2d7682a5a4f102ce2ff8e237b2ba299de48f15756a8a621b7f5e119a,5729647c2d7682a5a4f102ce2ff8e237b2ba299de48f15756a8a621b7f5e119a
annotations/full_v1/ann/rebalanced_hi.jsonl,jsonl,ignored,30040393,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,37daeeee9075ebe1b1eb55c9721c5073b0ccd1efd46730dbd92a02382067d455,37daeeee9075ebe1b1eb55c9721c5073b0ccd1efd46730dbd92a02382067d455
annotations/full_v1/ann/rebalanced_ru.jsonl,jsonl,ignored,29608542,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,cffd653ae0d6d5b6a8be8cdf1c90108d026d0d9d60a62cf2cd15dea4d60eb065,cffd653ae0d6d5b6a8be8cdf1c90108d026d0d9d60a62cf2cd15dea4d60eb065
annotations/full_v1/ann/rebalanced_zh.jsonl,jsonl,ignored,30563542,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,3ad7c5bfd2a0ff102e84af89866c7c78154d81fcc701a3017dfc75b51134e9ab,3ad7c5bfd2a0ff102e84af89866c7c78154d81fcc701a3017dfc75b51134e9ab
annotations/full_v1/annotations_all.jsonl,jsonl,ignored,64394775,current response or annotation provenance,unknown,unknown,pipeline/01_data_loading.R;pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv;writeup/archive/pipeline_technical_full_2026-08-26.tex,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 28 file(s).,,4f000cf276c71cab94f2e82888eaff1c7d21cc70474cceb7011095d2c66fe61b,4f000cf276c71cab94f2e82888eaff1c7d21cc70474cceb7011095d2c66fe61b
annotations/full_v1/annotations_ar_boundary.jsonl,jsonl,ignored,12830041,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,02a11f4385b5acc88a03ac2dbb287e4133a88a16096314618526f3d862d4837c,02a11f4385b5acc88a03ac2dbb287e4133a88a16096314618526f3d862d4837c
annotations/full_v1/annotations_en_boundary.jsonl,jsonl,ignored,12685929,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,96879e412635434d6819a39a1748f03436c782f5d22425dddb143f932f208848,96879e412635434d6819a39a1748f03436c782f5d22425dddb143f932f208848
annotations/full_v1/annotations_hi_boundary.jsonl,jsonl,ignored,13539833,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,cc8f1ea3d9220681caeec90a203c37584fec9a1f3142a30074d1673a5ef293bc,cc8f1ea3d9220681caeec90a203c37584fec9a1f3142a30074d1673a5ef293bc
annotations/full_v1/annotations_panel.jsonl,jsonl,ignored,203819406,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,143efa093169a54a661725fb4c4ab1de93f663547690bf6dfee9dcce9c478e23,143efa093169a54a661725fb4c4ab1de93f663547690bf6dfee9dcce9c478e23
annotations/full_v1/annotations_ru_boundary.jsonl,jsonl,ignored,13302030,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,4a3da0ef05c658801d025fd434e89dc6956d06d541f2895e7e381c067eeb4a38,4a3da0ef05c658801d025fd434e89dc6956d06d541f2895e7e381c067eeb4a38
annotations/full_v1/annotations_zh_boundary.jsonl,jsonl,ignored,12814425,current response or annotation provenance,unknown,unknown,pipeline/estimates/canonical/c00_manifest.csv;pipeline/releases/canon_004/estimates/c00_manifest.csv;pipeline/releases/canon_006/estimates/c00_manifest.csv;pipeline/releases/canon_007/estimates/c00_manifest.csv;pipeline/releases/canon_008/estimates/c00_manifest.csv;pipeline/releases/canon_009/estimates/c00_manifest.csv;pipeline/releases/canon_010/estimates/c00_manifest.csv;pipeline/releases/canon_011/estimates/c00_manifest.csv;pipeline/releases/canon_012/estimates/c00_manifest.csv;pipeline/releases/canon_014/estimates/c00_manifest.csv;pipeline/releases/canon_016/estimates/c00_manifest.csv;pipeline/releases/canon_017/estimates/c00_manifest.csv;pipeline/releases/canon_018/estimates/c00_manifest.csv;pipeline/releases/canon_019/estimates/c00_manifest.csv;pipeline/releases/canon_020/estimates/c00_manifest.csv;pipeline/releases/canon_021/estimates/c00_manifest.csv;pipeline/releases/canon_022/estimates/c00_manifest.csv;pipeline/releases/canon_023/estimates/c00_manifest.csv;pipeline/releases/canon_024/estimates/c00_manifest.csv;pipeline/releases/canon_025/estimates/c00_manifest.csv;pipeline/releases/canon_026/estimates/c00_manifest.csv;pipeline/releases/canon_027/estimates/c00_manifest.csv;pipeline/releases/canon_028/estimates/c00_manifest.csv;pipeline/releases/canon_029/estimates/c00_manifest.csv;pipeline/releases/canon_030/estimates/c00_manifest.csv;pipeline/releases/canon_031/estimates/c00_manifest.csv,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 26 file(s).,,7e055f892419cdfa66e19e3021d385e45fdc5cddd2b7856fdafefc1d9d13cf9b,7e055f892419cdfa66e19e3021d385e45fdc5cddd2b7856fdafefc1d9d13cf9b
annotations/full_v1/panel/google__gemma-4-31b-it/rebalanced_en.jsonl,jsonl,ignored,27571092,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,6164af99792334318613dc0404de05249aa0247213ca0527cc77b93d0106424b,6164af99792334318613dc0404de05249aa0247213ca0527cc77b93d0106424b
annotations/full_v1/panel/nvidia__nemotron-3-nano-30b-a3b/rebalanced_en.jsonl,jsonl,ignored,27758641,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,20f2d53b7e76445cc5a346c34758f4735483b21fe948e3c9807e967185ee9fd5,20f2d53b7e76445cc5a346c34758f4735483b21fe948e3c9807e967185ee9fd5
annotations/full_v1/panel/nvidia__nemotron-3-super-120b-a12b/rebalanced_en.jsonl,jsonl,ignored,27837515,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,0fc231906bdb12b84c5d6c2b03541ca2670ef35c34147c56f3017981dec978fd,0fc231906bdb12b84c5d6c2b03541ca2670ef35c34147c56f3017981dec978fd
annotations/full_v1/pass23_subsample.json,json,ignored,5809,current response or annotation provenance,unknown,unknown,archive/2026-09-01_pre_rationalization/docs/NEXT_STEPS.md;archive/2026-09-04_post_v24_rationalization/docs/SLANT_SUBSAMPLE.md;docs/archive/superseded_pipeline/ANALYSIS_HANDOFF.md,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 3 file(s).,,f3984685cbfc4122154e6640197126c5d0836501e58bad96292a9c8c555e5f66,f3984685cbfc4122154e6640197126c5d0836501e58bad96292a9c8c555e5f66
annotations/full_v1/pilot_config.json,json,ignored,597,current response or annotation provenance,unknown,unknown,docs/REPOSITORY_MAP.md;docs/RESPONSE_VALIDITY_TECHNICAL_PIPELINE.md;docs/TECHNICAL_PIPELINE.md,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 3 file(s).,,b7082705757113eb40a8dc9e311c867122ba846e23d6ea9fa06b25fe9cfbfa25,b7082705757113eb40a8dc9e311c867122ba846e23d6ea9fa06b25fe9cfbfa25
annotations/full_v1/prompts_meta/test_prompts_ar.json,json,ignored,960661,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89
annotations/full_v1/prompts_meta/test_prompts_en.json,json,ignored,960661,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89
annotations/full_v1/prompts_meta/test_prompts_hi.json,json,ignored,960661,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89
annotations/full_v1/prompts_meta/test_prompts_ru.json,json,ignored,960661,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89
annotations/full_v1/prompts_meta/test_prompts_zh.json,json,ignored,960661,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89,9313d637418b183ea5f59f82b64fd623449f9d4cfd8f2eba9eb73b9f10040f89
annotations/full_v1/responses/rebalanced_ar.jsonl,jsonl,ignored,516974262,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,401cfb12faed2daa8ced1b82fd57149cdee8757ebe2d929e1815cd792e20b624,401cfb12faed2daa8ced1b82fd57149cdee8757ebe2d929e1815cd792e20b624
annotations/full_v1/responses/rebalanced_en.jsonl,jsonl,ignored,179848073,current response or annotation provenance,unknown,unknown,logs/logs_full_v1.txt,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly. Direct path references found in 1 file(s).,,09782c563baff10412c375102ae56c082306d223c58bf0ad603a1c0c0cdb51ac,09782c563baff10412c375102ae56c082306d223c58bf0ad603a1c0c0cdb51ac
annotations/full_v1/responses/rebalanced_en.jsonl.predupe,file,ignored,7604664,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,93e596f2ab69287869654af54c9472a71e59f24020e74bbe901ff3a5aec7937e,93e596f2ab69287869654af54c9472a71e59f24020e74bbe901ff3a5aec7937e
annotations/full_v1/responses/rebalanced_hi.jsonl,jsonl,ignored,552530585,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,7e7ee7a29712af79f58fdd035e6bb88d2dc33ac344a166511c4a9b64434d6f21,7e7ee7a29712af79f58fdd035e6bb88d2dc33ac344a166511c4a9b64434d6f21
annotations/full_v1/responses/rebalanced_ru.jsonl,jsonl,ignored,606390009,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,05dc4530ccaad47774217f73db95ff1d15f2a699cc5abde2305e4cd1ce886d4d,05dc4530ccaad47774217f73db95ff1d15f2a699cc5abde2305e4cd1ce886d4d
annotations/full_v1/responses/rebalanced_zh.jsonl,jsonl,ignored,267730749,current response or annotation provenance,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,expensive,true,keep,high,Required to reconstruct the current corpus or v2.4 annotation assembly.,,c9433e5afd2c8d0cae8c796660ee1dc855739bdaf73a14394ae612504b61e69f,c9433e5afd2c8d0cae8c796660ee1dc855739bdaf73a14394ae612504b61e69f
annotations/model_expansion_v1/openrouter_pilot_v1/.run.lock,file,ignored,0,"historical annotation, validation, or pilot run state",unknown,unknown,none_found_by_direct_path_scan,historical_provenance,false,expensive,true,retain_or_archive,medium,Non-current annotation tree; preserve until run-level provenance is mapped.,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
annotations/model_expansion_v1/openrouter_pilot_v1/attempts.jsonl,jsonl,ignored,11539557,"historical annotation, validation, or pilot run state",unknown,unknown,none_found_by_direct_path_scan,historical_provenance,false,expensive,true,retain_or_archive,medium,Non-current annotation tree; preserve until run-level provenance is mapped.,,dfd500790fb1d4d9f20cf680bb6c28afbf183571fb23ffb80a6a02387298e763,dfd500790fb1d4d9f20cf680bb6c28afbf183571fb23ffb80a6a02387298e763
annotations/model_expansion_v1/openrouter_pilot_v1/cell_viability_v1/approved_expansion_cost_by_model.csv,csv,ignored,1101,"historical annotation, validation, or pilot run state",unknown,unknown,docs/OPENROUTER_MODEL_EXPANSION_V1.md,historical_provenance,false,expensive,true,retain_or_archive,medium,Non-current annotation tree; preserve until run-level provenance is mapped. Direct path references found in 1 file(s).,,62a57f7313fa473fee6cbba58c808ee9f7c222a009415821ecc70ae33e63bece,62a57f7313fa473fee6cbba58c808ee9f7c222a009415821ecc70ae33e63bece
annotations/model_expansion_v1/openrouter_pilot_v1/cell_viability_v1/approved_expansion_cost_estimate.json,json,ignored,1989,"historical annotation, validation, or pilot run state",unknown,unknown,none_found_by_direct_path_scan,historical_provenance,false,expensive,true,retain_or_archive,medium,Non-current annotation tree; preserve until run-level provenance is mapped.,,619a1e75807212dc321c1154bb034288d62856208239013db10ebdc15eaf9019,619a1e75807212dc321c1154bb034288d62856208239013db10ebdc15eaf9019
annotations/model_expansion_v1/openrouter_pilot_v1/cell_viability_v1/final_cell_registry.csv,csv,ignored,6991,"historical annotation, validation, or pilot run state",unknown,unknown,config/model_rosters/openrouter_expansion_v3_1_all_languages.json;config/model_rosters/openrouter_expansion_v3_cell_approved.json;docs/OPENROUTER_MODEL_EXPANSION_V1.md,historical_provenance,false,expensive,true,retain_or_archive,medium,Non-current annotation tree; preserve until run-level provenance is mapped. Direct path references found in 3 file(s).,,429a8225457d4ca2922b550032d4f307a9dfe5e7027dfe0af8d76e53f46d9071,429a8225457d4ca2922b550032d4f307a9dfe5e7027dfe0af8d76e53f46d9071
