model,jurisdiction,language,n,events,raw_rate,not_generated,estimate,conf_low,conf_high,estimable,note,language_label,spec,scale,contrast,estimand_type,uncertainty
gpt-5.1,US,zh,2496,61,0.024439102564102883,FALSE,-0.015516126422213353,-0.02826182880334758,-0.006816717900141915,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-5.1,US,ar,2496,120,0.048076923076924065,FALSE,0.005727741002184317,-0.003082448269074463,0.016195587604198838,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-5.1,US,ru,2496,51,0.020432692307692603,FALSE,-0.01911349052784021,-0.03399978777075041,-0.009457527690422735,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
gpt-5.1,US,hi,2496,24,0.009615384615384592,FALSE,-0.028706743554146937,-0.0487751607526165,-0.015096716310086139,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
grok-4.3,US,en,2496,51,0.020432692307692256,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
grok-4.3,US,zh,2496,38,0.015224358974359071,FALSE,-0.004496809633167334,-0.01280197426400188,9.465258039855001e-4,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
grok-4.3,US,ar,2496,30,0.012019230769230742,FALSE,-0.007254527458532348,-0.017454962314141172,-0.0013929865155936376,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
grok-4.3,US,ru,2496,31,0.012419871794871784,FALSE,-0.006910447049750827,-0.015828244851764674,-9.718088469113186e-4,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
grok-4.3,US,hi,2496,30,0.01201923076923075,FALSE,-0.007254568608711676,-0.01681117065968075,-0.0012550162474144774,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
jais-8b,MENA,en,2496,59,0.023637820512820106,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
jais-8b,MENA,zh,2496,100,0.04006410256410277,FALSE,0.015172405800468598,0.0067964640796652235,0.023935798648207746,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
jais-8b,MENA,ar,2496,88,0.03525641025641018,FALSE,0.010714562609092548,0.002701754084617003,0.020218213575876397,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
jais-8b,MENA,ru,2496,133,0.053285256410256714,FALSE,0.027502860181302612,0.017570167075091132,0.03825666414827439,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
jais-8b,MENA,hi,2495,491,0.19679358717434914,FALSE,0.16745052050669523,0.15044255655909447,0.18454394194015694,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
mistral-large-2512,EU,en,2496,0,0,FALSE,NA,NA,NA,FALSE,0 observed refusals in any language; not estimable,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
mistral-large-2512,EU,zh,2496,0,0,FALSE,NA,NA,NA,FALSE,0 observed refusals in any language; not estimable,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
mistral-large-2512,EU,ar,2496,0,0,FALSE,NA,NA,NA,FALSE,0 observed refusals in any language; not estimable,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
mistral-large-2512,EU,ru,2496,0,0,FALSE,NA,NA,NA,FALSE,0 observed refusals in any language; not estimable,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
mistral-large-2512,EU,hi,2495,0,0,FALSE,NA,NA,NA,FALSE,0 observed refusals in any language; not estimable,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
qwen3-max,CN,en,2496,184,0.07371794871794857,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
qwen3-max,CN,zh,2496,164,0.06570512820512854,FALSE,-0.007162954858420237,-0.017631220602460897,0.0034695393602726557,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
qwen3-max,CN,ar,2496,34,0.013621794871794947,FALSE,-0.053387504675371913,-0.07442326201643581,-0.03691661191877936,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
qwen3-max,CN,ru,2496,38,0.015224358974358972,FALSE,-0.05197577297104514,-0.07289303172055656,-0.03549308851623922,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
qwen3-max,CN,hi,2495,37,0.014829659318637198,FALSE,-0.05232785239144287,-0.07254219546292427,-0.03588059345682016,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
sarvam-30b,India,en,2490,152,0.061044176706826894,FALSE,0,0,0,FALSE,,English,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
sarvam-30b,India,zh,2494,20,0.008019246190858106,FALSE,-0.04746148970909965,-0.05884176867664681,-0.03811879365206405,TRUE,,Chinese,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
sarvam-30b,India,ar,2484,252,0.101449275362318,FALSE,0.037704378319708576,0.024029919189401974,0.05188770376120197,TRUE,,Arabic,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
sarvam-30b,India,ru,2477,3,0.001211142511102139,FALSE,-0.05337640474709203,-0.06416597763507638,-0.04436213226439614,TRUE,,Russian,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
sarvam-30b,India,hi,2456,18,0.007328990228013126,FALSE,-0.04810730094876965,-0.05839399018551919,-0.038771776329611374,TRUE,,Hindi,"refused ~ language + tier + (1|issue_id), per model",probability,P(refuse|language) - P(refuse|English),sample-conditional,parametric bootstrap over fixed effects; BLUPs held fixed
