outcome,dimension,field,quantity,estimate,n,judge_model,n_judges,point_envelope_low,point_envelope_high,note,sample,conditional,canonical_run_id
ideology,Authority,authoritarian_libertarian,share_zero,0.8037936839542473,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos1,0.06374495426334882,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos2,0.0010717563561394204,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg2,4.4947933138887914e-4,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg1,0.154527398422525,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_zero,0.7945079268299821,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos1,0.05036950777041644,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos2,1.4568764568764566e-4,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Care / harm,care_harm,prevalence,0.498233671107708,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Fairness / cheating,fairness_cheating,prevalence,0.6090529174047891,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Liberty / oppression,liberty_oppression,prevalence,0.4730658797222202,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Authority / subversion,authority_subversion,prevalence,0.13985568066707485,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Loyalty / betrayal,loyalty_betrayal,prevalence,0.0845003726905899,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Sanctity / degradation,sanctity_degradation,prevalence,0.031356453298993864,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg2,0.020984959906935923,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg1,0.13985018144934974,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_zero,0.77305673434449,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos1,0.0527781572536678,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos2,0.013329967045556617,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg2,0.07823869997640365,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg1,0.32589360127121564,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_zero,0.43321554926476485,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos1,0.14336366907134726,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos2,0.019288480416268634,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg2,0.03680536987457783,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg1,0.16669800161028203,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_zero,0.6156030782522822,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos1,0.15118791475988033,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos2,0.02970563550297762,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg2,0.002542486104689229,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg1,0.0684647133831684,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_zero,0.4471991834080879,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos1,0.46541090032657295,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos2,0.016382716777481515,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Care / harm,care_harm,prevalence,0.5212082590261811,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Fairness / cheating,fairness_cheating,prevalence,0.6403873435241911,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Liberty / oppression,liberty_oppression,prevalence,0.5154949596714666,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Authority / subversion,authority_subversion,prevalence,0.3224845708256276,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Loyalty / betrayal,loyalty_betrayal,prevalence,0.21183000773411537,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Sanctity / degradation,sanctity_degradation,prevalence,0.0528701702024071,6468,google/gemma-4-31b-it,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg2,0.005489318395769287,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg1,0.01910979959407298,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_zero,0.9625996416768582,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos1,0.012010884321610252,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos2,7.903560116893202e-4,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg2,0.11821569516325564,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg1,0.6593122150435894,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_zero,0.2161999927088036,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos1,0.0021331953514964297,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos2,0.004138901732854934,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg2,0.08045657063729647,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg1,0.27168288300150495,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_zero,0.633605027150777,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos1,0.012352029215977525,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos2,0.0019034899944439872,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg2,0.22175220641524815,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg1,0.5001534618860113,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_zero,0.27078201005131414,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos1,0.006404836299232549,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos2,9.074853481939052e-4,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Care / harm,care_harm,prevalence,0.5224885208562885,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Fairness / cheating,fairness_cheating,prevalence,0.7878377588338624,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Liberty / oppression,liberty_oppression,prevalence,0.6122997216279685,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Authority / subversion,authority_subversion,prevalence,0.2056588863247864,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Loyalty / betrayal,loyalty_betrayal,prevalence,0.14084148638717994,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Sanctity / degradation,sanctity_degradation,prevalence,0.02045943696503708,6468,nvidia/nemotron-3-nano-30b-a3b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg2,0.021083813059902992,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg1,0.046256140540122066,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_zero,0.8671494634578122,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos1,0.05413293342264651,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos2,0.011377649519516218,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg2,0.06180451459909807,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg1,0.09905533879432613,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_zero,0.6674919285361833,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos1,0.12499780898045929,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos2,0.04665040908993314,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg2,0.05415231435671436,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg1,0.14164396776297394,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_zero,0.7075759759628916,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos1,0.07968038961890965,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos2,0.016947352298510444,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg2,0.021377362958237122,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_neg1,0.16677740043744954,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_zero,0.7046377902646912,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos1,0.09213054055526547,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Populism,populist_elitist,share_pos2,0.01507690578435667,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Care / harm,care_harm,prevalence,0.45744910505123376,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Fairness / cheating,fairness_cheating,prevalence,0.6802327235459447,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Liberty / oppression,liberty_oppression,prevalence,0.3616427636817664,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Authority / subversion,authority_subversion,prevalence,0.11573855719092103,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Loyalty / betrayal,loyalty_betrayal,prevalence,0.16889637346710207,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
moral foundation,Sanctity / degradation,sanctity_degradation,prevalence,0.015892161805474092,6468,nvidia/nemotron-3-super-120b-a12b,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.12468429612475967,0.27168288300150495,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.006705309301504745,0.08045657063729647,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.012352029215977525,0.15118791475988033,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_pos2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.0010717563561394204,0.02970563550297762,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_zero,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.6156030782522822,0.8037936839542473,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg1,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.01910979959407298,0.13985018144934974,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg2,NA,NA,OBSERVED JUDGE POINT ENVELOPE,4,0.005241394712010209,0.021083813059902992,range of judge POINT estimates on one shared sample; contains no sampling uncertainty and is not an interval,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
