foundation,field,scope,level,weighting,estimate,conf_low,conf_high,conf_low_battery,conf_high_battery,n,n_models,jurisdiction_caveat,nonexclusive,inference_target,conditional,canonical_run_id,krippendorff_alpha,gwet_ac1,prevalence,psa_mean,psa_min,psa_max,psa_conf_low,psa_conf_high,n_pairs,n_units_complete,reliability_statistic,reliability_note,evidence_status
Fairness / cheating,fairness_cheating,jurisdiction,US,equal-model,0.5920011519868564,0.5447667158295308,0.6316985947992522,0.5525178374605547,0.6303315478220287,2435,4,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,EU,equal-model,0.7051282051282052,0.6521634615384615,0.7516025641025641,0.6632078736112036,0.7438460322099321,624,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,overall,all models,equal-model,0.47134218403735895,0.4302016398147308,0.5123486809016409,0.43467402217575624,0.5083222484456036,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,jurisdiction,CN,equal-model,0.4920621945343154,0.44049765790246975,0.5421471332333929,0.44717133821473953,0.5370814185670737,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,jurisdiction,MENA,equal-model,0.4276079151589858,0.3905432889874185,0.4655621333330112,0.3913870390869583,0.46462185104424514,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,jurisdiction,India,equal-model,0.5144312393887945,0.4642857142857143,0.5678295131438937,0.46970181546847817,0.558930676263413,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,jurisdiction,US,equal-model,0.44780129082426956,0.40543155979541445,0.4877760977972605,0.40786176823127235,0.48842582881740887,2435,4,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Liberty / oppression,liberty_oppression,jurisdiction,EU,equal-model,0.6121794871794872,0.5680689102564103,0.6586538461538461,0.5702078041469193,0.6525499395536042,624,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5234112231954676,0.52341,0.4888812993321403,0.7591901867242288,0.6862252902416065,0.8521225314881045,0.7330596998457706,0.7828413187767884,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,overall,all models,equal-model,0.13963639900829625,0.11183833790851744,0.16861768772688504,0.11536771643050472,0.16804047812068978,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,jurisdiction,CN,equal-model,0.1641383286294486,0.13089011959516283,0.19999337436084302,0.13358352578270655,0.2000681587505699,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,jurisdiction,MENA,equal-model,0.11114305613543282,0.08759738840324985,0.1369672827091335,0.08933334270715505,0.1374735650735093,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,jurisdiction,India,equal-model,0.1460101867572156,0.11023721967687486,0.1845288298841598,0.11651094659714821,0.18144439645206753,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,jurisdiction,US,equal-model,0.1400037864749042,0.1116939098494451,0.17112164778474592,0.11498365796001227,0.16942597689752867,2435,4,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Authority / subversion,authority_subversion,jurisdiction,EU,equal-model,0.16826923076923078,0.13217147435897436,0.20757211538461534,0.13506927311269948,0.20767037228433066,624,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.3876693792185577,0.71573,0.196759259259264,0.5123414948386027,0.44486512068149553,0.605294825511432,0.455868942062265,0.563509225240598,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Loyalty / betrayal,loyalty_betrayal,overall,all models,equal-model,0.0844381013245755,0.06508223115154811,0.10589416623599787,0.06782550652337983,0.10466278833960534,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.4888683486677768,0.82286,0.1513737097753533,0.5581479323236274,0.4592391304347826,0.7129666800481734,0.5094830683586188,0.6071656657795552,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Loyalty / betrayal,loyalty_betrayal,jurisdiction,CN,equal-model,0.12862686721277622,0.0971424913339306,0.16129723010942287,0.10156835914374183,0.16159736998822571,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.4888683486677768,0.82286,0.1513737097753533,0.5581479323236274,0.4592391304347826,0.7129666800481734,0.5094830683586188,0.6071656657795552,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Loyalty / betrayal,loyalty_betrayal,jurisdiction,MENA,equal-model,0.06817783791341699,0.050207237101086405,0.0873078996377619,0.0523451904349473,0.0883528464663899,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.4888683486677768,0.82286,0.1513737097753533,0.5581479323236274,0.4592391304347826,0.7129666800481734,0.5094830683586188,0.6071656657795552,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
