jurisdiction,cell,n_home,n_away,n,both_arms,support_definition,canonical_run_id
CN,deepseek-chat-v3.1 | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | perennial | boundary,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | perennial | regular,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | temporal | boundary,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | temporal | regular,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | current-events | boundary,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | current-events | regular,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | perennial | boundary,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | perennial | regular,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | temporal | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | migration_nationalism | temporal | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | perennial | boundary,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | perennial | regular,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | temporal | boundary,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | religion_state | temporal | regular,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | perennial | boundary,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | perennial | regular,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | temporal | boundary,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | security_conflict | temporal | regular,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | current-events | boundary,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | current-events | regular,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | perennial | boundary,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | perennial | regular,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | territorial_sovereignty | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | perennial | boundary,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | perennial | regular,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | temporal | boundary,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | civil_rights_liberties | temporal | regular,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | current-events | boundary,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | current-events | regular,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | economic_policy | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | current-events | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | perennial | boundary,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | perennial | regular,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | current-events | boundary,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | current-events | regular,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | perennial | boundary,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | perennial | regular,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | temporal | boundary,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | governance_democracy | temporal | regular,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | current-events | boundary,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | current-events | regular,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | perennial | boundary,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | perennial | regular,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | temporal | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | migration_nationalism | temporal | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | perennial | boundary,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | perennial | regular,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | temporal | boundary,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | religion_state | temporal | regular,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | perennial | boundary,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | perennial | regular,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | temporal | boundary,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | security_conflict | temporal | regular,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | current-events | boundary,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | current-events | regular,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | perennial | boundary,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | perennial | regular,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,glm-4.7-flash | territorial_sovereignty | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | perennial | boundary,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | perennial | regular,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | temporal | boundary,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | civil_rights_liberties | temporal | regular,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | current-events | boundary,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | current-events | regular,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | economic_policy | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | current-events | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | perennial | boundary,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | perennial | regular,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | current-events | boundary,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | current-events | regular,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | perennial | boundary,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | perennial | regular,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | temporal | boundary,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | governance_democracy | temporal | regular,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | current-events | boundary,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | current-events | regular,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | perennial | boundary,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | perennial | regular,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | temporal | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | migration_nationalism | temporal | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | perennial | boundary,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | perennial | regular,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | temporal | boundary,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | religion_state | temporal | regular,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | perennial | boundary,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | perennial | regular,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | temporal | boundary,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | security_conflict | temporal | regular,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | current-events | boundary,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | current-events | regular,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | perennial | boundary,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | perennial | regular,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,hunyuan-a13b | territorial_sovereignty | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | perennial | boundary,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | perennial | regular,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | temporal | boundary,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | civil_rights_liberties | temporal | regular,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | current-events | boundary,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | current-events | regular,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | economic_policy | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | current-events | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | perennial | boundary,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | perennial | regular,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | current-events | boundary,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | current-events | regular,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | perennial | boundary,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | perennial | regular,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | temporal | boundary,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | governance_democracy | temporal | regular,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | current-events | boundary,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | current-events | regular,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | perennial | boundary,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | perennial | regular,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | temporal | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | migration_nationalism | temporal | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | perennial | boundary,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | perennial | regular,2,26,28,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | temporal | boundary,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | religion_state | temporal | regular,0,64,64,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | current-events | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | current-events | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | perennial | boundary,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | perennial | regular,6,8,14,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | temporal | boundary,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | security_conflict | temporal | regular,0,114,114,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | current-events | regular,0,6,6,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | perennial | boundary,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | perennial | regular,0,30,30,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | temporal | boundary,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | social_moral | temporal | regular,0,2,2,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | current-events | boundary,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | current-events | regular,0,20,20,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | perennial | boundary,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | perennial | regular,94,14,108,TRUE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,kimi-k2.5 | territorial_sovereignty | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | perennial | boundary,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | perennial | regular,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | temporal | boundary,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | civil_rights_liberties | temporal | regular,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | current-events | boundary,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | current-events | regular,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | economic_policy | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | current-events | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | perennial | boundary,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | perennial | regular,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | current-events | boundary,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | current-events | regular,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | perennial | boundary,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | perennial | regular,44,18,62,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | temporal | boundary,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | governance_democracy | temporal | regular,0,52,52,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | current-events | boundary,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | current-events | regular,0,26,26,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | perennial | boundary,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | perennial | regular,12,42,54,TRUE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | temporal | boundary,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | migration_nationalism | temporal | regular,0,68,68,FALSE,model x domain x route_f x tier,canon_019
CN,qwen3-max | religion_state | current-events | boundary,0,6,6,FALSE,model x domain x route_f x tier,canon_019
