model,prompt_language,task_behavior,n,share,n_cell,source,canonical_run_id
claude-opus-4.5,en,no_substantive_output,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,en,opposite_position,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,en,partial,149,0.059695512820512824,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,coherent_pivot,90,0.036057692307692304,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,complete,1968,0.7884615384615384,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,functionally_complete,176,0.07051282051282051,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,no_substantive_output,90,0.036057692307692304,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,opposite_position,33,0.013221153846153846,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,hi,partial,139,0.05568910256410257,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,coherent_pivot,32,0.01282051282051282,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,complete,2214,0.8870192307692307,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,functionally_complete,106,0.04246794871794872,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,no_substantive_output,18,0.007211538461538462,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,opposite_position,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ru,partial,120,0.04807692307692308,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,coherent_pivot,47,0.018830128205128204,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,complete,2183,0.8745993589743589,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,functionally_complete,91,0.036458333333333336,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,no_substantive_output,24,0.009615384615384616,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,opposite_position,11,0.004407051282051282,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,zh,partial,140,0.05608974358974359,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,coherent_pivot,106,0.04246794871794872,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,complete,1959,0.7848557692307693,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,functionally_complete,113,0.045272435897435896,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,no_substantive_output,71,0.02844551282051282,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,opposite_position,154,0.06169871794871795,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ar,partial,93,0.037259615384615384,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,coherent_pivot,39,0.015625,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,complete,2212,0.8862179487179487,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,functionally_complete,84,0.03365384615384615,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,no_substantive_output,21,0.008413461538461538,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,opposite_position,77,0.030849358974358976,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,en,partial,63,0.025240384615384616,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,coherent_pivot,53,0.021251002405773857,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,complete,1970,0.7898957497995188,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,functionally_complete,195,0.07818765036086608,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,no_substantive_output,19,0.007618283881315156,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,opposite_position,169,0.06776263031275061,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,hi,partial,88,0.03528468323977546,2494,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,coherent_pivot,49,0.019631410256410256,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,complete,2082,0.8341346153846154,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,functionally_complete,90,0.036057692307692304,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,no_substantive_output,115,0.04607371794871795,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,opposite_position,95,0.03806089743589743,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,ru,partial,65,0.026041666666666668,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,coherent_pivot,116,0.046474358974358976,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,complete,1927,0.7720352564102564,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,functionally_complete,64,0.02564102564102564,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,no_substantive_output,183,0.0733173076923077,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,opposite_position,114,0.04567307692307692,2496,Luna v2.4 task_behavior,canon_019
deepseek-chat-v3.1,zh,partial,92,0.03685897435897436,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,coherent_pivot,31,0.012419871794871794,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,complete,126,0.05048076923076923,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,functionally_complete,48,0.019230769230769232,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,no_substantive_output,539,0.21594551282051283,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,opposite_position,99,0.039663461538461536,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,partial,1643,0.6582532051282052,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ar,unassessable,10,0.004006410256410256,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,coherent_pivot,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,complete,2102,0.8421474358974359,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,functionally_complete,243,0.09735576923076923,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,no_substantive_output,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,opposite_position,21,0.008413461538461538,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,en,partial,90,0.036057692307692304,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,coherent_pivot,18,0.007214428857715431,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,complete,98,0.03927855711422846,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,functionally_complete,38,0.015230460921843688,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,no_substantive_output,427,0.17114228456913827,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,opposite_position,80,0.03206412825651302,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,partial,1820,0.7294589178356713,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,hi,unassessable,14,0.0056112224448897794,2495,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,coherent_pivot,34,0.013621794871794872,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,complete,1199,0.48036858974358976,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,functionally_complete,219,0.08774038461538461,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,no_substantive_output,53,0.02123397435897436,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,opposite_position,113,0.045272435897435896,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,partial,876,0.35096153846153844,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,ru,unassessable,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,coherent_pivot,20,0.008035355564483728,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,complete,2026,0.8139815186822017,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,functionally_complete,184,0.0739252711932503,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,no_substantive_output,3,0.0012053033346725592,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,opposite_position,55,0.02209722780233025,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,partial,200,0.08035355564483729,2489,Luna v2.4 task_behavior,canon_019
falcon3-10b,zh,unassessable,1,4.017677782241864e-4,2489,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,coherent_pivot,18,0.007211538461538462,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,complete,2376,0.9519230769230769,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,functionally_complete,73,0.029246794871794872,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,no_substantive_output,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,opposite_position,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ar,partial,20,0.008012820512820512,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,coherent_pivot,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,complete,2357,0.9443108974358975,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,functionally_complete,99,0.039663461538461536,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,no_substantive_output,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,opposite_position,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,en,partial,18,0.007211538461538462,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,hi,complete,2410,0.9659318637274549,2495,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,hi,functionally_complete,60,0.02404809619238477,2495,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,hi,no_substantive_output,2,0.00080160320641282565,2495,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,hi,opposite_position,11,0.004408817635270541,2495,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,hi,partial,12,0.004809619238476954,2495,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,coherent_pivot,13,0.005208333333333333,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,complete,2338,0.936698717948718,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,functionally_complete,124,0.049679487179487176,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,no_substantive_output,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,opposite_position,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,ru,partial,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,coherent_pivot,5,0.002003205128205128,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,complete,2432,0.9743589743589743,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,functionally_complete,36,0.014423076923076924,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,opposite_position,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
gemini-2.5-flash-lite,zh,partial,17,0.006810897435897436,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,coherent_pivot,30,0.01201923076923077,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,complete,2283,0.9146634615384616,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,functionally_complete,37,0.014823717948717948,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,no_substantive_output,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,opposite_position,38,0.015224358974358974,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ar,partial,104,0.041666666666666664,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,coherent_pivot,38,0.015224358974358974,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,complete,2291,0.9178685897435898,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,functionally_complete,92,0.03685897435897436,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,no_substantive_output,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,opposite_position,22,0.008814102564102564,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,en,partial,44,0.017628205128205128,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,coherent_pivot,12,0.004807692307692308,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,complete,1985,0.7952724358974359,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,functionally_complete,31,0.012419871794871794,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,no_substantive_output,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,opposite_position,204,0.08173076923076923,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,hi,partial,261,0.1045673076923077,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,coherent_pivot,22,0.008814102564102564,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,complete,2303,0.922676282051282,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,functionally_complete,103,0.04126602564102564,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,no_substantive_output,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,opposite_position,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,ru,partial,55,0.022035256410256412,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,coherent_pivot,49,0.019631410256410256,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,complete,2272,0.9102564102564102,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,functionally_complete,51,0.020432692307692308,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,no_substantive_output,22,0.008814102564102564,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,opposite_position,54,0.021634615384615384,2496,Luna v2.4 task_behavior,canon_019
glm-4.7-flash,zh,partial,48,0.019230769230769232,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,complete,2291,0.9178685897435898,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,functionally_complete,131,0.05248397435897436,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,opposite_position,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ar,partial,62,0.024839743589743588,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,en,complete,2339,0.9374749498997996,2495,Luna v2.4 task_behavior,canon_019
gpt-4o,en,functionally_complete,121,0.04849699398797595,2495,Luna v2.4 task_behavior,canon_019
gpt-4o,en,no_substantive_output,2,0.00080160320641282565,2495,Luna v2.4 task_behavior,canon_019
gpt-4o,en,opposite_position,4,0.0016032064128256513,2495,Luna v2.4 task_behavior,canon_019
gpt-4o,en,partial,29,0.011623246492985972,2495,Luna v2.4 task_behavior,canon_019
gpt-4o,hi,complete,2239,0.8970352564102564,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,hi,functionally_complete,176,0.07051282051282051,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,hi,no_substantive_output,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,hi,opposite_position,20,0.008012820512820512,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,hi,partial,60,0.02403846153846154,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,coherent_pivot,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,complete,2304,0.9230769230769231,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,functionally_complete,130,0.052083333333333336,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,no_substantive_output,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,opposite_position,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,ru,partial,51,0.020432692307692308,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,coherent_pivot,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,complete,2332,0.9342948717948718,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,functionally_complete,101,0.04046474358974359,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,opposite_position,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
gpt-4o,zh,partial,57,0.02283653846153846,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,coherent_pivot,114,0.04567307692307692,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,complete,2277,0.9122596153846154,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,functionally_complete,69,0.027644230769230768,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,no_substantive_output,23,0.00921474358974359,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,opposite_position,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ar,partial,11,0.004407051282051282,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,coherent_pivot,65,0.026041666666666668,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,complete,2287,0.9162660256410257,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,functionally_complete,100,0.04006410256410257,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,no_substantive_output,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,opposite_position,1,0.00040064102564102563,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,en,partial,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,coherent_pivot,29,0.011618589743589744,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,complete,2272,0.9102564102564102,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,functionally_complete,167,0.06690705128205128,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,no_substantive_output,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,opposite_position,12,0.004807692307692308,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,hi,partial,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ru,coherent_pivot,65,0.026041666666666668,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ru,complete,2328,0.9326923076923077,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ru,functionally_complete,83,0.03325320512820513,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ru,no_substantive_output,6,0.002403846153846154,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,ru,partial,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,zh,coherent_pivot,72,0.028846153846153848,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,zh,complete,2357,0.9443108974358975,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,zh,functionally_complete,49,0.019631410256410256,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,zh,no_substantive_output,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
gpt-5.1,zh,partial,16,0.00641025641025641,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,coherent_pivot,12,0.004807692307692308,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,complete,2358,0.9447115384615384,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,functionally_complete,64,0.02564102564102564,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,no_substantive_output,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,opposite_position,40,0.016025641025641024,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ar,partial,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,complete,2279,0.9130608974358975,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,functionally_complete,61,0.024439102564102564,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,no_substantive_output,5,0.002003205128205128,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,opposite_position,132,0.052884615384615384,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,en,partial,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,coherent_pivot,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,complete,2258,0.9046474358974359,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,functionally_complete,162,0.06490384615384616,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,no_substantive_output,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,opposite_position,47,0.018830128205128204,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,hi,partial,19,0.007612179487179487,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,coherent_pivot,4,0.0016025641025641025,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,complete,2334,0.9350961538461539,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,functionally_complete,60,0.02403846153846154,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,no_substantive_output,7,0.0028044871794871795,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,opposite_position,80,0.03205128205128205,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,ru,partial,11,0.004407051282051282,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,zh,coherent_pivot,14,0.005608974358974359,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,zh,complete,2317,0.9282852564102564,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,zh,functionally_complete,36,0.014423076923076924,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,zh,no_substantive_output,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
grok-4.3,zh,opposite_position,109,0.04366987179487179,2496,Luna v2.4 task_behavior,canon_019
